Value,Points,Category,Year,,,,,,,
0.247,2,AVG,2013,,,,,,,
0.2452,1,AVG,2013,,,,,,,
200,18,HR,2013,,,,,,,
185,17,HR,2013,,,,,,,
171,16,HR,2013,,,,,,,
168,15,HR,2013,,,,,,,
167,14,HR,2013,,,,,,,
164,13,HR,2013,,,,,,,
159,12,HR,2013,,,,,,,
157,11,HR,2013,,,,,,,
156,10,HR,2013,,,,,,,
154,9,HR,2013,,,,,,,
151,8,HR,2013,,,,,,,
133,7,HR,2013,,,,,,,
123,6,HR,2013,,,,,,,
121,5,HR,2013,,,,,,,
115,4,HR,2013,,,,,,,
89,3,HR,2013,,,,,,,
75,2,HR,2013,,,,,,,
41,1,HR,2013,,,,,,,
836,18,R,2013,,,,,,,
835,17,R,2013,,,,,,,
802,16,R,2013,,,,,,,
795,15,R,2013,,,,,,,
784,14,R,2013,,,,,,,
766,13,R,2013,,,,,,,
742,12,R,2013,,,,,,,
741,11,R,2013,,,,,,,
702,10,R,2013,,,,,,,
689,9,R,2013,,,,,,,
635,8,R,2013,,,,,,,
573,7,R,2013,,,,,,,
573,6,R,2013,,,,,,,
541,5,R,2013,,,,,,,
536,4,R,2013,,,,,,,
410,3,R,2013,,,,,,,
371,2,R,2013,,,,,,,
313,1,R,2013,,,,,,,
805,18,RBI,2013,,,,,,,
802,17,RBI,2013,,,,,,,
742,16,RBI,2013,,,,,,,
742,15,RBI,2013,,,,,,,
732,14,RBI,2013,,,,,,,
703,13,RBI,2013,,,,,,,
700,12,RBI,2013,,,,,,,
697,11,RBI,2013,,,,,,,
680,10,RBI,2013,,,,,,,
680,9,RBI,2013,,,,,,,
676,8,RBI,2013,,,,,,,
583,7,RBI,2013,,,,,,,
542,6,RBI,2013,,,,,,,
519,5,RBI,2013,,,,,,,
464,4,RBI,2013,,,,,,,
441,3,RBI,2013,,,,,,,
413,2,RBI,2013,,,,,,,
264,1,RBI,2013,,,,,,,
161,18,SB,2013,,,,,,,
130,17,SB,2013,,,,,,,
125,16,SB,2013,,,,,,,
120,15,SB,2013,,,,,,,
112,14,SB,2013,,,,,,,
110,13,SB,2013,,,,,,,
109,12,SB,2013,,,,,,,
101,11,SB,2013,,,,,,,
93,10,SB,2013,,,,,,,
90,9,SB,2013,,,,,,,
83,8,SB,2013,,,,,,,
76,7,SB,2013,,,,,,,
68,6,SB,2013,,,,,,,
59,5,SB,2013,,,,,,,
57,4,SB,2013,,,,,,,
53,3,SB,2013,,,,,,,
51,2,SB,2013,,,,,,,
40,1,SB,2013,,,,,,,
