"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Max Moroff","Pirates","7","6","1","0","0","0","1","1","1","1","0","0","0"," ",".238",".299",".327",".627",".278"," ","76","0.0","0.0"," ","-0.2","0.0","0.0","sa658280"
"Jake Elmore","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".311",".305",".616",".277"," ","76","0.0","0.0"," ","0.0","0.0","0.0","7290"
"Ehire Adrianza","Giants","105","94","22","5","1","1","8","9","8","20","1","2","1"," ",".236",".299",".324",".623",".277"," ","79","-0.1","0.4"," ","-2.6","1.1","0.2","8418"
"Cliff Pennington","Angels","137","122","28","5","0","1","13","11","12","27","1","2","1"," ",".233",".305",".316",".621",".276"," ","77","0.1","0.0"," ","-3.6","0.9","0.2","3395"
"Beamer Weems","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".284",".343",".627",".276"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa454985"
"Sean Nicol","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".293",".328",".621",".275"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa501900"
"Alexei Ramirez","Padres","545","511","127","26","1","7","44","48","23","64","3","13","7"," ",".249",".283",".347",".630",".275"," ","75","-0.6","-2.5"," ","-16.3","4.1","0.5","5133"
"Alex Gonzalez","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".280",".348",".628",".275"," ","69","0.0","0.0"," ","0.0","0.0","0.0","520"
"Ramon Torres","Royals","7","6","2","0","0","0","1","1","0","1","0","0","0"," ",".255",".286",".342",".628",".275"," ","70","0.0","0.0"," ","-0.2","0.0","0.0","sa547940"
"Ryan Goins","Blue Jays","323","296","71","14","2","3","31","28","20","65","2","3","2"," ",".240",".289",".334",".623",".275"," ","69","0.0","1.1"," ","-11.6","2.9","0.2","9807"
"Jorge Flores","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".243",".296",".321",".617",".274"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa550275"
"Daniel Castro","Braves","119","112","29","5","0","1","10","10","5","14","1","1","1"," ",".256",".287",".338",".625",".274"," ","71","0.0","-0.4"," ","-4.0","0.9","0.1","15450"
"Aderlin Mejia","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".301",".313",".614",".274"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa550598"
"Olmo Rosario"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".282",".341",".623",".273"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa202325"
"Brandon Trinkwon","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".296",".314",".610",".272"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa709596"
"Yonathan Mendoza","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".243",".293",".320",".613",".272"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa596904"
"Emerson Landoni","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".252",".291",".324",".615",".272"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa455907"
"Vance Albitz","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".283",".335",".618",".271"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa545433"
"Nick Punto","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".297",".307",".604",".271"," ","71","0.0","0.0"," ","0.0","0.0","0.0","1429"
"Chase d'Arnaud","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".282",".336",".617",".271"," ","67","0.0","0.0"," ","0.0","0.0","0.0","6652"
"Zach Vincej","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".291",".319",".610",".271"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa621790"
"Tim Beckham","Rays","231","212","48","9","2","4","21","21","13","60","2","4","2"," ",".227",".276",".340",".617",".271"," ","71","-0.1","-1.5"," ","-7.8","0.3","0.0","7949"
"Miguel Rojas","Marlins","124","114","28","5","1","1","10","10","7","15","1","1","1"," ",".245",".291",".324",".616",".271"," ","67","-0.1","0.1"," ","-4.8","1.3","0.0","7802"
"Matt Williams","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".297",".307",".604",".270"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa577691"
"Dixon Machado","Tigers","39","36","9","2","0","0","4","3","2","6","0","1","0"," ",".240",".291",".317",".609",".270"," ","66","0.0","0.0"," ","-1.5","0.5","0.0","11472"
"Peter Mooney","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".291",".316",".607",".270"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa503239"
"Oscar Tejeda","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".274",".344",".619",".270"," ","63","0.0","0.0"," ","0.0","0.0","0.0","sa392406"
"Carlos Perdomo","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".290",".319",".609",".270"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa504867"
"Yhoxian Medina","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".294",".315",".608",".270"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa602515"
"Kevin Nolan","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".279",".337",".616",".270"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa502042"
"Andrew Ely","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".278",".338",".615",".270"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa829591"
"Ronny Cedeno","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".241",".283",".334",".617",".270"," ","66","0.0","0.0"," ","0.0","0.0","0.0","2179"
"Danny Worth","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".286",".321",".607",".270"," ","66","0.0","0.0"," ","0.0","0.0","0.0","198"
"David Mayfield","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".278",".335",".613",".269"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa739543"
"Gregorio Petit","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".279",".340",".619",".269"," ","65","0.0","0.0"," ","0.0","0.0","0.0","3812"
"Gustavo Nunez","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".291",".319",".610",".269"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa446859"
"Andy Parrino","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".286",".318",".605",".269"," ","69","0.0","0.0"," ","0.0","0.0","0.0","3972"
"Jack Reinheimer","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".287",".321",".609",".269"," ","62","0.0","0.0"," ","0.0","0.0","0.0","sa549854"
"Derrik Gibson","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".298",".300",".598",".269"," ","64","0.0","0.0"," ","0.0","0.0","0.0","sa456041"
"Niko Goodrum","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".286",".321",".607",".269"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa550463"
"Chris Gutierrez","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".286",".320",".606",".269"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa291780"
"Reid Brignac","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".290",".313",".603",".268"," ","66","0.0","0.0"," ","0.0","0.0","0.0","8380"
"Curt Powell","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".288",".320",".608",".268"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa738708"
"Gianfranco Wawoe","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".276",".334",".610",".268"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa596239"
"Jason Martinson","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".210",".269",".339",".608",".268"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa548330"
"Munenori Kawasaki","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".297",".299",".596",".268"," ","64","0.0","0.0"," ","0.0","0.0","0.0","13047"
"Carter Jurica","Giants","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".287",".316",".604",".268"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa548259"
"Austin Nola","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".298",".299",".597",".268"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa577789"
"Joey Wong","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".283",".323",".606",".267"," ","48","0.0","0.0"," ","-0.1","0.0","0.0","sa502131"
"Alexi Amarista","Padres","226","207","48","9","2","3","18","19","15","35","1","3","2"," ",".231",".283",".332",".614",".267"," ","70","0.3","-0.1"," ","-7.6","1.6","0.1","9063"
"Ildemaro Vargas","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".281",".327",".608",".267"," ","61","0.0","0.0"," ","0.0","0.0","0.0","sa504705"
"Rafael Fernandez","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".281",".322",".603",".267"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa596240"
"Jose Chavez"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".285",".312",".597",".266"," ","64","0.0","0.0"," ","0.0","0.0","0.0","sa288775"
