"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Sean Ochinko","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".278",".360",".638",".279"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa501639"
"Jason Hagerty","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".291",".337",".628",".278"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa501451"
"Ryan Doumit","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".278",".362",".639",".278"," ","74","0.0","0.0"," ","0.0","0.0","0.0","2113"
"Mike Ohlman","Cardinals","6","6","1","0","0","0","1","1","0","1","0","0","0"," ",".233",".293",".336",".629",".278"," ","74","0.0","0.0"," ","-0.2","0.1","0.0","sa501614"
"Clint Coulter","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".217",".277",".356",".633",".278"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa657922"
"Tyler Ogle","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".291",".334",".625",".278"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa578021"
"Tucker Barnhart","Reds","132","118","28","5","0","2","11","11","11","21","1","1","0"," ",".237",".304",".329",".633",".278"," ","70","0.0","0.6"," ","-4.6","3.4","0.3","10200"
"Tomas Telis","Marlins","30","28","7","1","0","0","3","3","1","4","0","0","0"," ",".258",".292",".348",".640",".278"," ","72","0.0","-0.1"," ","-1.0","0.5","0.1","10067"
"Chris O'Brien","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".279",".357",".636",".278"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa526558"
"Johnny Monell","Mets","30","27","6","1","0","1","3","3","2","6","0","0","0"," ",".226",".287",".347",".633",".278"," ","78","0.0","0.0"," ","-0.8","0.6","0.1","2783"
"Rossmel Perez","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".253",".303",".329",".632",".278"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa455612"
"Sherman Lacrus","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".286",".346",".632",".277"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa658985"
"Alfredo Gonzalez","Astros","31","28","7","1","0","0","3","3","2","6","0","0","0"," ",".236",".295",".328",".623",".277"," ","72","0.0","0.0"," ","-1.0","0.6","0.1","sa505301"
"Josh Thole","Blue Jays","102","92","22","4","0","1","10","9","8","18","1","1","1"," ",".237",".298",".325",".623",".277"," ","70","-0.3","-1.1"," ","-3.8","1.1","0.1","9689"
"Kevin Plawecki","Mets","149","136","32","6","0","3","12","14","9","26","2","0","0"," ",".235",".288",".345",".633",".277"," ","77","0.0","0.4"," ","-4.0","3.5","0.4","13807"
"Saul Soto"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".295",".324",".619",".276"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa211076"
"Christian Bethancourt","Padres","30","29","7","1","0","1","2","3","1","5","0","0","0"," ",".246",".278",".360",".638",".276"," ","76","0.0","0.0"," ","-0.9","0.6","0.1","10028"
"Derrick Chung","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".293",".330",".624",".276"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa621647"
"Adrian Nieto","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".288",".334",".621",".275"," ","70","0.0","0.0"," ","0.0","0.0","0.0","10294"
"Robert Kral","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".204",".289",".329",".619",".275"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa526396"
"Hector Sanchez","Giants","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".277",".352",".629",".275"," ","77","0.0","0.0"," ","0.0","0.0","0.0","10289"
"Kyle Higashioka","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".271",".357",".629",".274"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa454957"
"Martin Maldonado","Brewers","160","143","31","6","0","4","14","15","13","40","2","1","1"," ",".218",".287",".338",".625",".274"," ","66","-0.1","0.3"," ","-6.4","3.6","0.2","6887"
"Tim Roberson","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".277",".350",".627",".274"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa546786"
